,cooler_condition,valve_condition,pump_leakage,accumulator_pressure
TS3_mean_second_half,0.989145085609731,0.00011210702123602447,0.00023493295321108163,0.0009191451980138314
TS4_mean,0.9903656862050033,0.00013007229155279833,0.0002728691917917467,0.0008221597058401917
TS4_std,0.14590401187219376,0.001496689013734115,0.01977539570516263,0.010811123578804508
TS4_mean_first_half,0.9902978984076389,0.00013093581167295348,0.0002703077163233881,0.0008081338495563026
TS4_mean_second_half,0.9904125124141818,0.00012932470226799072,0.0002756976709695305,0.0008363257080374572
VS1_mean,0.8441292142062203,0.0024048811771847666,0.0134134064788006,0.006401647685479627
VS1_std,0.3795153804136097,0.002935892652982534,0.10458125318287215,0.01785410978022466
VS1_mean_first_half,0.8699942903343133,0.004233663413816583,0.0010627351910379363,0.005000023076431468
VS1_mean_second_half,0.6513127679195948,0.0007842356778885966,0.0581980143151512,0.009030670339234232
CE_mean,0.9983420680138092,0.00019068743363224956,0.0003243983539138894,0.00029102389446180184
CE_std,0.018233487105976987,0.0031832374227396968,0.015565923400286546,0.008330389981513302
CE_mean_first_half,0.9981177120397889,0.00019147878668199632,0.00035656753225327847,0.00028999863177672845
CE_mean_second_half,0.9983671445211016,0.00019050082111838116,0.0002936719018198959,0.00029403099295974007
CP_mean,0.9888046376132592,0.0003089685654319126,0.0012439523521738606,0.0005946992569877378
CP_std,0.060298516553160784,0.002699098983312454,0.0199752368099716,0.008249908110687026
CP_mean_first_half,0.9870094715719969,0.00030526285937654014,0.0015206061061878277,0.0006512385604432258
CP_mean_second_half,0.9887157229150001,0.0003163760229980648,0.0009933010158156045,0.0005578579914393662
SE_mean,0.32531489098548877,0.0015763551295551656,0.14184504823021643,0.05715286974350965
SE_std,0.3897391847978895,0.002434047116356148,0.0059581166538735485,0.05370463768958309
SE_mean_first_half,0.28807358387108095,0.013819788139595992,0.14689038261344134,0.07084696110813082
SE_mean_second_half,0.33465771427482877,0.00011182615531694895,0.13440475394945325,0.0486362016103271
PS3_peak_s,0.012284657653252668,0.9767120139081661,3.737653481052296e-05,0.0030451727154493825
PS1m_minus_PS2m,0.539737195909534,0.23875744619185724,0.0696414271206828,0.01189486057490777
PS2m_minus_PS3m,0.22840952724144079,0.0018214262901418304,0.06595475017216815,0.070399460378804
PS3m_minus_PS5m,0.8255516733929854,2.989148622247448e-05,0.03926313144673406,0.019583855020692993
PS4m_minus_PS5m,0.962486691530018,0.0009199860424953509,0.0004208697601417889,0.0012924198938351395
TS3m_minus_TS1m,0.9869558297293489,0.0001231038633705599,0.0009474453821567585,0.002888493429738299
